epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3193.77,0.21724,1.03788,1.25758,0.4613,0.34831,0.35436,0.18305,0.20345,0.96566,1.27388,0.0088912,0.0088912,0.0088912
58,3248.56,0.21857,1.03621,1.26129,0.43476,0.35766,0.34413,0.17373,0.20351,0.96772,1.27821,0.0088714,0.0088714,0.0088714
59,3303.5,0.21653,1.0285,1.25676,0.47972,0.34942,0.34979,0.17863,0.20325,0.95693,1.27562,0.0088516,0.0088516,0.0088516
60,3356.47,0.21483,1.02416,1.2559,0.40989,0.36805,0.35666,0.18409,0.20125,0.95703,1.26713,0.0088318,0.0088318,0.0088318
61,3409.11,0.21413,1.02434,1.24505,0.44412,0.37866,0.36543,0.1888,0.20155,0.95858,1.26946,0.008812,0.008812,0.008812
62,3464.38,0.21687,1.03725,1.25406,0.49707,0.35247,0.37367,0.1932,0.20023,0.94383,1.25996,0.0087922,0.0087922,0.0087922
63,3520.44,0.21479,1.01989,1.25306,0.43755,0.35279,0.3708,0.19082,0.19982,0.94752,1.25967,0.0087724,0.0087724,0.0087724
64,3574.99,0.21567,1.01944,1.2582,0.44269,0.39768,0.38409,0.19741,0.20023,0.93694,1.26019,0.0087526,0.0087526,0.0087526
65,3631.43,0.21428,1.01447,1.24607,0.5499,0.33365,0.36617,0.19261,0.19923,0.94371,1.25817,0.0087328,0.0087328,0.0087328
66,3689.53,0.21421,1.02001,1.25206,0.40368,0.37755,0.364,0.19225,0.19974,0.94284,1.26253,0.008713,0.008713,0.008713
67,3744.42,0.21238,1.00718,1.24547,0.47268,0.37312,0.37006,0.19529,0.19905,0.93257,1.25503,0.0086932,0.0086932,0.0086932
68,3799.97,0.21319,1.00183,1.23377,0.49215,0.35227,0.36878,0.19652,0.19928,0.93057,1.25505,0.0086734,0.0086734,0.0086734
69,3855.25,0.2142,1.00771,1.24908,0.40046,0.38217,0.37351,0.19047,0.1978,0.93886,1.25313,0.0086536,0.0086536,0.0086536
70,3911.36,0.21472,1.01314,1.24902,0.46653,0.36168,0.37129,0.19598,0.19735,0.93368,1.24991,0.0086338,0.0086338,0.0086338
71,3964.16,0.21307,1.00076,1.24322,0.38987,0.42909,0.38789,0.20613,0.19669,0.93334,1.24828,0.008614,0.008614,0.008614
72,4018.35,0.21235,1.00281,1.23555,0.42961,0.39136,0.38519,0.2027,0.19753,0.92539,1.24996,0.0085942,0.0085942,0.0085942
73,4074.17,0.21183,0.98911,1.23325,0.48724,0.38754,0.39798,0.20723,0.19808,0.92062,1.24926,0.0085744,0.0085744,0.0085744
74,4128.01,0.21177,0.98516,1.23618,0.53099,0.35931,0.38361,0.2004,0.19725,0.90884,1.2482,0.0085546,0.0085546,0.0085546
75,4182.68,0.21239,0.99056,1.24786,0.46067,0.38117,0.39638,0.2122,0.19688,0.90963,1.2458,0.0085348,0.0085348,0.0085348
76,4237.53,0.21143,0.98888,1.24169,0.43115,0.41375,0.40932,0.22112,0.19591,0.89609,1.24375,0.008515,0.008515,0.008515
77,4293.08,0.21203,0.99023,1.23853,0.57049,0.37616,0.42262,0.22564,0.19506,0.89967,1.24051,0.0084952,0.0084952,0.0084952
78,4347.92,0.21164,0.97787,1.2368,0.55993,0.37021,0.4105,0.21499,0.19596,0.90251,1.24408,0.0084754,0.0084754,0.0084754
79,4402.94,0.21058,0.97887,1.23434,0.52613,0.34261,0.41155,0.21355,0.19561,0.89977,1.24395,0.0084556,0.0084556,0.0084556
80,4456.95,0.20967,0.9765,1.22725,0.49134,0.38786,0.41775,0.22475,0.1944,0.89372,1.2366,0.0084358,0.0084358,0.0084358
